Algo,InconsModelSize,NoOfCoreRxns,Runtime,LPS
FC,5000,50,51.0693767,3570
SPcc_SPc,5000,50,0.2694374,8
SP,5000,50,0.3345004,9
SW,5000,50,0.5563938,7
FC,5000,150,52.4111449,3574
SPcc_SPc,5000,150,0.3499578,12
SP,5000,150,0.3494463,9
SW,5000,150,0.5660741,10
FC,5000,250,53.4544638,3574
SPcc_SPc,5000,250,0.3458847,11
SP,5000,250,0.3520537,9
SW,5000,250,0.5467365,9
FC,5000,350,52.8269394,3574
SPcc_SPc,5000,350,0.3554569,11
SP,5000,350,0.340767,9
SW,5000,350,0.5460629,9
FC,5000,450,55.6371255,3578
SPcc_SPc,5000,450,0.2919324,10
SP,5000,450,0.3588369,9
SW,5000,450,0.5881018,12
FC,5000,550,54.1335048,3574
SPcc_SPc,5000,550,0.354428,11
SP,5000,550,0.3588428,9
SW,5000,550,0.5595096,10
FC,5000,650,54.5197591,3574
SPcc_SPc,5000,650,0.3474026,11
SP,5000,650,0.3571304,9
SW,5000,650,0.5779976,11
FC,5000,750,54.313884,3574
SPcc_SPc,5000,750,0.3445362,11
SP,5000,750,0.3472696,9
SW,5000,750,0.5767189,12
FC,5000,850,54.5674763,3576
SPcc_SPc,5000,850,0.3596443,13
SP,5000,850,0.3446998,9
SW,5000,850,0.559886,11
FC,5000,950,54.3256467,3574
SPcc_SPc,5000,950,0.3536186,11
SP,5000,950,0.3446843,9
SW,5000,950,0.5466862,11
FC,5000,1050,54.566302,3580
SPcc_SPc,5000,1050,0.3689888,12
SP,5000,1050,0.2976557,7
SW,5000,1050,0.5544505,10
FC,5000,1150,54.8711207,3582
SPcc_SPc,5000,1150,0.369883,12
SP,5000,1150,0.2880717,7
SW,5000,1150,0.6325074,12
FC,5000,1250,54.7470485,3574
SPcc_SPc,5000,1250,0.3539091,12
SP,5000,1250,0.347148,9
SW,5000,1250,0.5774681,12
FC,5000,1350,54.6810091,3576
SPcc_SPc,5000,1350,0.3554907,12
SP,5000,1350,0.3443774,9
SW,5000,1350,0.571937,11
FC,5000,1450,54.9027533,3586
SPcc_SPc,5000,1450,0.3284533,14
SP,5000,1450,0.3062174,7
SW,5000,1450,0.5395125,8
FC,5000,1550,54.7862898,3580
SPcc_SPc,5000,1550,0.3530412,12
SP,5000,1550,0.3568104,9
SW,5000,1550,0.5730428,12
FC,5000,1650,54.8708225,3582
SPcc_SPc,5000,1650,0.3485349,11
SP,5000,1650,0.358201,9
SW,5000,1650,0.5352139,8
FC,5000,1750,55.2119921,3588
SPcc_SPc,5000,1750,0.3604217,12
SP,5000,1750,0.3485444,9
SW,5000,1750,0.5337004,8
FC,5000,1850,55.5640214,3586
SPcc_SPc,5000,1850,0.3626249,14
SP,5000,1850,0.3513092,9
SW,5000,1850,0.5771348,13
FC,5000,1950,55.2172551,3580
SPcc_SPc,5000,1950,0.3742005,12
SP,5000,1950,0.3679592,9
SW,5000,1950,0.5457687,12
FC,5000,2050,54.9081987,3580
SPcc_SPc,5000,2050,0.3601789,12
SP,5000,2050,0.2844489,7
SW,5000,2050,0.5837862,10
FC,5000,2150,55.047286,3588
SPcc_SPc,5000,2150,0.3550784,12
SP,5000,2150,0.347041,9
SW,5000,2150,0.5810238,15
FC,5000,2250,55.2682108,3584
SPcc_SPc,5000,2250,0.3220228,13
SP,5000,2250,0.3588124,9
SW,5000,2250,0.5827339,13
FC,5000,2350,55.2719908,3590
SPcc_SPc,5000,2350,0.3697119,13
SP,5000,2350,0.358126,9
SW,5000,2350,0.5419779,10
FC,5000,2450,55.1142492,3586
SPcc_SPc,5000,2450,0.3697034,13
SP,5000,2450,0.3787855,9
SW,5000,2450,0.5698567,11
FC,5000,2550,55.3524754,3596
SPcc_SPc,5000,2550,0.3762923,16
SP,5000,2550,0.3487646,9
SW,5000,2550,0.5550516,9
FC,5000,2650,55.2667442,3588
SPcc_SPc,5000,2650,0.3762215,14
SP,5000,2650,0.3589812,9
SW,5000,2650,0.5687475,14
FC,5000,2750,55.1372765,3588
SPcc_SPc,5000,2750,0.3888982,12
SP,5000,2750,0.3626923,9
SW,5000,2750,0.5673166,10
FC,5000,2850,55.13452,3582
SPcc_SPc,5000,2850,0.2889396,10
SP,5000,2850,0.3500117,9
SW,5000,2850,0.577823,11
FC,5000,2950,55.1930385,3582
SPcc_SPc,5000,2950,0.3084442,13
SP,5000,2950,0.3437694,9
SW,5000,2950,0.5390854,10
FC,5000,3050,55.0506991,3584
SPcc_SPc,5000,3050,0.3808222,14
SP,5000,3050,0.2787868,7
SW,5000,3050,0.564368,11
FC,5000,3150,54.9921128,3582
SPcc_SPc,5000,3150,0.3796945,14
SP,5000,3150,0.3439052,9
SW,5000,3150,0.546749,12
FC,5000,3250,55.3448817,3586
SPcc_SPc,5000,3250,0.3690323,12
SP,5000,3250,0.2847364,7
SW,5000,3250,0.5448203,9
FC,5000,3350,55.2532386,3578
SPcc_SPc,5000,3350,0.3495636,12
SP,5000,3350,0.3481551,9
SW,5000,3350,0.5480162,10
FC,5000,3450,56.1090357,3584
SPcc_SPc,5000,3450,0.367792,12
SP,5000,3450,0.3519709,9
SW,5000,3450,0.5668478,11
FC,5000,3550,56.2555422,3578
SPcc_SPc,5000,3550,0.3032876,12
SP,5000,3550,0.2802825,7
SW,5000,3550,0.5344962,12
FC,5000,3650,54.9900433,3588
SPcc_SPc,5000,3650,0.3951048,18
SP,5000,3650,0.3502612,9
SW,5000,3650,0.5393836,9
FC,5000,3750,54.6064336,3576
SPcc_SPc,5000,3750,0.303957,11
SP,5000,3750,0.3502247,9
SW,5000,3750,0.5593153,10
FC,5000,3850,55.6407068,3594
SPcc_SPc,5000,3850,0.3035761,10
SP,5000,3850,0.3481241,9
SW,5000,3850,0.5267243,8
FC,5000,3950,55.3511392,3574
SPcc_SPc,5000,3950,0.376065,12
SP,5000,3950,0.3536489,9
SW,5000,3950,0.5360304,9
FC,5000,4050,55.3098023,3586
SPcc_SPc,5000,4050,0.3759339,13
SP,5000,4050,0.3458027,9
SW,5000,4050,0.5363746,9
FC,5000,4150,55.4881145,3576
SPcc_SPc,5000,4150,0.294274,9
SP,5000,4150,0.3685078,9
SW,5000,4150,0.5593059,13
FC,5000,4250,55.308722,3584
SPcc_SPc,5000,4250,0.3552237,12
SP,5000,4250,0.3476574,9
SW,5000,4250,0.5426275,11
FC,5000,4350,55.4485572,3582
SPcc_SPc,5000,4350,0.2941604,10
SP,5000,4350,0.3497388,9
SW,5000,4350,0.5508485,9
FC,5000,4450,55.3550733,3576
SPcc_SPc,5000,4450,0.3666742,12
SP,5000,4450,0.2854734,7
SW,5000,4450,0.534261,11
FC,5000,4550,55.2765466,3578
SPcc_SPc,5000,4550,0.3093917,12
SP,5000,4550,0.3508674,9
SW,5000,4550,0.5472712,9
FC,5000,4650,55.3250453,3584
SPcc_SPc,5000,4650,0.3814581,15
SP,5000,4650,0.2863332,7
SW,5000,4650,0.5149396,7
FC,5000,4750,55.4208961,3580
SPcc_SPc,5000,4750,0.3601809,12
SP,5000,4750,0.3481879,9
SW,5000,4750,0.5546449,10
FC,5000,4850,55.4816005,3576
SPcc_SPc,5000,4850,0.366148,12
SP,5000,4850,0.3527203,9
SW,5000,4850,0.5115406,6
FC,5000,4950,55.860628,3572
SPcc_SPc,5000,4950,0.4776695,11
SP,5000,4950,0.4275168,9
SW,5000,4950,0.5651453,4
FC,5500,50,58.5336926,3503
SPcc_SPc,5500,50,0.4059282,10
SP,5500,50,0.3985882,9
SW,5500,50,2.261517,15
FC,5500,150,58.1796351,3507
SPcc_SPc,5500,150,0.4043682,11
SP,5500,150,0.4025851,9
SW,5500,150,2.1546501,9
FC,5500,250,58.4782859,3507
SPcc_SPc,5500,250,0.4115393,11
SP,5500,250,0.4056962,9
SW,5500,250,2.2087644,13
FC,5500,350,58.4506372,3507
SPcc_SPc,5500,350,0.4240283,11
SP,5500,350,0.3986068,9
SW,5500,350,2.2253246,11
FC,5500,450,58.5760894,3507
SPcc_SPc,5500,450,0.4170444,12
SP,5500,450,0.4024597,9
SW,5500,450,2.1926349,11
FC,5500,550,58.3955777,3507
SPcc_SPc,5500,550,0.4252062,12
SP,5500,550,0.3966027,9
SW,5500,550,2.1630605,13
FC,5500,650,58.3250803,3507
SPcc_SPc,5500,650,0.4193159,11
SP,5500,650,0.4139995,9
SW,5500,650,2.1986358,15
FC,5500,750,58.3628095,3507
SPcc_SPc,5500,750,0.4457526,12
SP,5500,750,0.3936726,9
SW,5500,750,2.2016347,14
FC,5500,850,58.2794017,3507
SPcc_SPc,5500,850,0.4393646,12
SP,5500,850,0.4032197,9
SW,5500,850,2.1778562,13
FC,5500,950,58.6177754,3523
SPcc_SPc,5500,950,0.4214165,12
SP,5500,950,0.4056463,9
SW,5500,950,2.1339978,10
FC,5500,1050,58.4332808,3507
SPcc_SPc,5500,1050,0.4264774,12
SP,5500,1050,0.392273,9
SW,5500,1050,2.1466061,11
FC,5500,1150,58.642072,3519
SPcc_SPc,5500,1150,0.4248678,12
SP,5500,1150,0.405254,9
SW,5500,1150,2.1930826,14
FC,5500,1250,58.7365244,3507
SPcc_SPc,5500,1250,0.4184676,12
SP,5500,1250,0.4023762,9
SW,5500,1250,2.1448777,12
FC,5500,1350,58.3717746,3515
SPcc_SPc,5500,1350,0.4134996,12
SP,5500,1350,0.3919715,9
SW,5500,1350,2.1987872,15
FC,5500,1450,58.9633286,3515
SPcc_SPc,5500,1450,0.4189828,12
SP,5500,1450,0.4303164,9
SW,5500,1450,2.2987905,14
FC,5500,1550,58.6461915,3515
SPcc_SPc,5500,1550,0.4199365,12
SP,5500,1550,0.3951524,9
SW,5500,1550,2.1920425,18
FC,5500,1650,58.3615975,3517
SPcc_SPc,5500,1650,0.4131381,12
SP,5500,1650,0.4050384,9
SW,5500,1650,2.1028935,9
FC,5500,1750,58.4580674,3509
SPcc_SPc,5500,1750,0.4450883,13
SP,5500,1750,0.3889315,9
SW,5500,1750,2.1786847,12
FC,5500,1850,58.6364071,3513
SPcc_SPc,5500,1850,0.4456794,13
SP,5500,1850,0.4256859,9
SW,5500,1850,2.1157391,12
FC,5500,1950,58.4713088,3521
SPcc_SPc,5500,1950,0.4367579,12
SP,5500,1950,0.3986766,9
SW,5500,1950,2.1433105,11
FC,5500,2050,59.0955173,3509
SPcc_SPc,5500,2050,0.4210519,12
SP,5500,2050,0.3943633,9
SW,5500,2050,2.1626801,11
FC,5500,2150,58.7241675,3515
SPcc_SPc,5500,2150,0.5213396,13
SP,5500,2150,0.4552518,9
SW,5500,2150,2.1447428,12
FC,5500,2250,58.4229886,3515
SPcc_SPc,5500,2250,0.4443285,13
SP,5500,2250,0.4015722,9
SW,5500,2250,2.1328537,13
FC,5500,2350,58.8485041,3517
SPcc_SPc,5500,2350,0.440519,12
SP,5500,2350,0.4144281,9
SW,5500,2350,2.1530024,13
FC,5500,2450,58.5855763,3521
SPcc_SPc,5500,2450,0.4728649,16
SP,5500,2450,0.3966847,9
SW,5500,2450,2.0803964,9
FC,5500,2550,58.4796021,3517
SPcc_SPc,5500,2550,0.4343664,13
SP,5500,2550,0.3837945,9
SW,5500,2550,2.1462803,17
FC,5500,2650,58.604475,3523
SPcc_SPc,5500,2650,0.4516426,13
SP,5500,2650,0.3751271,9
SW,5500,2650,2.1701324,15
FC,5500,2750,58.5048856,3523
SPcc_SPc,5500,2750,0.471885,15
SP,5500,2750,0.4395762,9
SW,5500,2750,2.2434855,11
FC,5500,2850,58.2816519,3507
SPcc_SPc,5500,2850,0.4462828,12
SP,5500,2850,0.3811472,9
SW,5500,2850,2.1020115,11
FC,5500,2950,58.7409698,3507
SPcc_SPc,5500,2950,0.4241865,12
SP,5500,2950,0.3854708,9
SW,5500,2950,2.1474556,9
FC,5500,3050,58.6228277,3517
SPcc_SPc,5500,3050,0.4152386,12
SP,5500,3050,0.3819828,9
SW,5500,3050,2.1306506,10
FC,5500,3150,58.5010367,3523
SPcc_SPc,5500,3150,0.4455876,12
SP,5500,3150,0.3948945,9
SW,5500,3150,2.3026373,14
FC,5500,3250,58.2034471,3519
SPcc_SPc,5500,3250,0.4214547,12
SP,5500,3250,0.3940236,9
SW,5500,3250,2.1330435,11
FC,5500,3350,58.4563524,3519
SPcc_SPc,5500,3350,0.4528202,13
SP,5500,3350,0.3869986,9
SW,5500,3350,2.1486795,14
FC,5500,3450,58.4010267,3519
SPcc_SPc,5500,3450,0.4180456,12
SP,5500,3450,0.3959956,9
SW,5500,3450,2.1302684,11
FC,5500,3550,58.4599244,3517
SPcc_SPc,5500,3550,0.4292808,12
SP,5500,3550,0.3929114,9
SW,5500,3550,2.1214116,14
FC,5500,3650,58.4799088,3517
SPcc_SPc,5500,3650,0.4451179,13
SP,5500,3650,0.3996496,9
SW,5500,3650,2.1071832,12
FC,5500,3750,58.4927186,3517
SPcc_SPc,5500,3750,0.4328435,13
SP,5500,3750,0.3990332,9
SW,5500,3750,2.1185405,12
FC,5500,3850,58.6997157,3525
SPcc_SPc,5500,3850,0.4407646,13
SP,5500,3850,0.3901875,9
SW,5500,3850,2.1322668,12
FC,5500,3950,58.4414156,3509
SPcc_SPc,5500,3950,0.4515511,14
SP,5500,3950,0.3875083,9
SW,5500,3950,2.097866,11
FC,5500,4050,58.5692611,3519
SPcc_SPc,5500,4050,0.4245279,12
SP,5500,4050,0.4093594,9
SW,5500,4050,2.0819014,10
FC,5500,4150,58.7255268,3515
SPcc_SPc,5500,4150,0.4341666,12
SP,5500,4150,0.3870808,9
SW,5500,4150,2.1024165,13
FC,5500,4250,58.4276763,3517
SPcc_SPc,5500,4250,0.4731477,14
SP,5500,4250,0.3963109,9
SW,5500,4250,2.0961781,10
FC,5500,4350,59.1276032,3515
SPcc_SPc,5500,4350,0.4760644,16
SP,5500,4350,0.3881739,9
SW,5500,4350,2.1055279,10
FC,5500,4450,58.3623746,3519
SPcc_SPc,5500,4450,0.4390529,12
SP,5500,4450,0.4001498,9
SW,5500,4450,2.100144,8
FC,5500,4550,58.3010298,3509
SPcc_SPc,5500,4550,0.4584332,14
SP,5500,4550,0.384501,9
SW,5500,4550,2.1235275,9
FC,5500,4650,61.9371829,3521
SPcc_SPc,5500,4650,0.476586,14
SP,5500,4650,0.4071362,9
SW,5500,4650,2.6174285,15
FC,5500,4750,58.7615724,3509
SPcc_SPc,5500,4750,0.4276017,12
SP,5500,4750,0.3778178,9
SW,5500,4750,2.101335,11
FC,5500,4850,58.3863793,3517
SPcc_SPc,5500,4850,0.443691,13
SP,5500,4850,0.3940746,9
SW,5500,4850,2.1474915,11
FC,5500,4950,58.2725986,3515
SPcc_SPc,5500,4950,0.4304595,12
SP,5500,4950,0.3851765,9
SW,5500,4950,2.0943384,11
FC,6000,50,71.1795718,3822
SPcc_SPc,6000,50,0.4556678,11
SP,6000,50,0.4631798,9
SW,6000,50,2.9730096,11
FC,6000,150,71.4202654,3822
SPcc_SPc,6000,150,0.4877952,11
SP,6000,150,0.466287,9
SW,6000,150,3.3599621,11
FC,6000,250,73.4079781,3822
SPcc_SPc,6000,250,0.4922665,11
SP,6000,250,0.473595,9
SW,6000,250,3.0794105,12
FC,6000,350,77.5967554,3822
SPcc_SPc,6000,350,0.5062856,11
SP,6000,350,0.4846744,9
SW,6000,350,3.2126746,11
FC,6000,450,75.3285754,3824
SPcc_SPc,6000,450,0.4752777,11
SP,6000,450,0.4829952,9
SW,6000,450,3.0947518,10
FC,6000,550,72.5829409,3828
SPcc_SPc,6000,550,0.4988569,12
SP,6000,550,0.4837696,9
SW,6000,550,3.0913929,13
FC,6000,650,73.2111558,3822
SPcc_SPc,6000,650,0.4838253,11
SP,6000,650,0.46698,9
SW,6000,650,3.0484777,9
FC,6000,750,72.8831274,3822
SPcc_SPc,6000,750,0.4766835,11
SP,6000,750,0.4632854,9
SW,6000,750,3.0486223,11
FC,6000,850,72.4858065,3828
SPcc_SPc,6000,850,0.5346478,12
SP,6000,850,0.4802938,9
SW,6000,850,3.0839722,12
FC,6000,950,72.9997952,3826
SPcc_SPc,6000,950,0.5702862,17
SP,6000,950,0.4696416,9
SW,6000,950,3.1537389,11
FC,6000,1050,73.6791662,3842
SPcc_SPc,6000,1050,0.4914517,12
SP,6000,1050,0.4520918,9
SW,6000,1050,3.0908331,14
FC,6000,1150,72.9852059,3830
SPcc_SPc,6000,1150,0.4844131,12
SP,6000,1150,0.468746,9
SW,6000,1150,3.0800661,12
FC,6000,1250,72.665788,3830
SPcc_SPc,6000,1250,0.4986572,12
SP,6000,1250,0.4730296,9
SW,6000,1250,3.0960114,13
FC,6000,1350,72.789231,3822
SPcc_SPc,6000,1350,0.4772358,12
SP,6000,1350,0.4829867,9
SW,6000,1350,3.0925886,13
FC,6000,1450,72.8429496,3832
SPcc_SPc,6000,1450,0.4755921,12
SP,6000,1450,0.4609764,9
SW,6000,1450,3.0751226,11
FC,6000,1550,72.5515989,3822
SPcc_SPc,6000,1550,0.5172888,15
SP,6000,1550,0.4707333,9
SW,6000,1550,3.0605099,13
FC,6000,1650,72.4941468,3836
SPcc_SPc,6000,1650,0.5038645,12
SP,6000,1650,0.4592094,9
SW,6000,1650,3.079951,10
FC,6000,1750,73.2753124,3826
SPcc_SPc,6000,1750,0.498903,12
SP,6000,1750,0.4658919,9
SW,6000,1750,3.0178822,11
FC,6000,1850,73.0544156,3834
SPcc_SPc,6000,1850,0.4917924,13
SP,6000,1850,0.4549313,9
SW,6000,1850,3.1133311,15
FC,6000,1950,72.8321883,3822
SPcc_SPc,6000,1950,0.5229234,13
SP,6000,1950,0.4553348,9
SW,6000,1950,3.0701765,14
FC,6000,2050,73.408905,3826
SPcc_SPc,6000,2050,0.5082927,13
SP,6000,2050,0.4459295,9
SW,6000,2050,3.1096735,12
FC,6000,2150,73.8809311,3832
SPcc_SPc,6000,2150,0.5089561,12
SP,6000,2150,0.4589263,9
SW,6000,2150,3.0340611,11
FC,6000,2250,72.8823479,3836
SPcc_SPc,6000,2250,0.5842956,17
SP,6000,2250,0.4685527,9
SW,6000,2250,3.2284561,13
FC,6000,2350,73.0640651,3830
SPcc_SPc,6000,2350,0.4898941,12
SP,6000,2350,0.4805932,9
SW,6000,2350,3.410315,11
FC,6000,2450,73.1206517,3838
SPcc_SPc,6000,2450,0.5201111,12
SP,6000,2450,0.4362391,9
SW,6000,2450,3.0897442,10
FC,6000,2550,73.1168941,3824
SPcc_SPc,6000,2550,0.5243803,14
SP,6000,2550,0.4606054,9
SW,6000,2550,3.022741,9
FC,6000,2650,72.9940553,3834
SPcc_SPc,6000,2650,0.5308182,14
SP,6000,2650,0.4580702,9
SW,6000,2650,3.0902439,10
FC,6000,2750,72.8495734,3822
SPcc_SPc,6000,2750,0.5435637,12
SP,6000,2750,0.451771,9
SW,6000,2750,3.0991311,11
FC,6000,2850,72.4824586,3834
SPcc_SPc,6000,2850,0.4987526,12
SP,6000,2850,0.4541657,9
SW,6000,2850,3.2252521,11
FC,6000,2950,72.9444329,3832
SPcc_SPc,6000,2950,0.5105897,13
SP,6000,2950,0.4383985,9
SW,6000,2950,3.0646639,12
FC,6000,3050,73.3221082,3832
SPcc_SPc,6000,3050,0.5566515,16
SP,6000,3050,0.4483775,9
SW,6000,3050,3.0832445,12
FC,6000,3150,72.9521805,3838
SPcc_SPc,6000,3150,0.5112587,13
SP,6000,3150,0.4452518,9
SW,6000,3150,3.0857911,11
FC,6000,3250,73.322838,3832
SPcc_SPc,6000,3250,0.5392428,13
SP,6000,3250,0.4874481,9
SW,6000,3250,3.0802536,14
FC,6000,3350,73.1728296,3836
SPcc_SPc,6000,3350,0.5041561,12
SP,6000,3350,0.4457742,9
SW,6000,3350,3.1229226,14
FC,6000,3450,73.1510873,3840
SPcc_SPc,6000,3450,0.5146353,12
SP,6000,3450,0.4505505,9
SW,6000,3450,3.0362966,13
FC,6000,3550,72.8721463,3834
SPcc_SPc,6000,3550,0.4909276,12
SP,6000,3550,0.4415786,9
SW,6000,3550,3.074377,11
FC,6000,3650,73.2302494,3830
SPcc_SPc,6000,3650,0.5050817,12
SP,6000,3650,0.4559041,9
SW,6000,3650,3.0291059,10
FC,6000,3750,73.1588124,3832
SPcc_SPc,6000,3750,0.5123693,13
SP,6000,3750,0.4391576,9
SW,6000,3750,3.0622639,13
FC,6000,3850,73.0568643,3840
SPcc_SPc,6000,3850,0.5101704,12
SP,6000,3850,0.4416989,9
SW,6000,3850,3.031558,11
FC,6000,3950,72.9417567,3840
SPcc_SPc,6000,3950,0.4881761,12
SP,6000,3950,0.4472526,9
SW,6000,3950,3.1144708,15
FC,6000,4050,72.614542,3828
SPcc_SPc,6000,4050,0.5074084,13
SP,6000,4050,0.4551564,9
SW,6000,4050,3.0442388,10
FC,6000,4150,74.2139383,3834
SPcc_SPc,6000,4150,0.5392501,14
SP,6000,4150,0.4484412,9
SW,6000,4150,3.1943129,11
FC,6000,4250,73.4157711,3830
SPcc_SPc,6000,4250,0.4941172,12
SP,6000,4250,0.4570439,9
SW,6000,4250,3.0844616,13
FC,6000,4350,73.5070916,3832
SPcc_SPc,6000,4350,0.5246739,15
SP,6000,4350,0.4382784,9
SW,6000,4350,3.018181,9
FC,6000,4450,73.4526357,3838
SPcc_SPc,6000,4450,0.5080825,13
SP,6000,4450,0.4640193,9
SW,6000,4450,3.2284647,10
FC,6000,4550,72.9820675,3828
SPcc_SPc,6000,4550,0.501418,12
SP,6000,4550,0.4597813,9
SW,6000,4550,3.0665478,11
FC,6000,4650,73.4349888,3834
SPcc_SPc,6000,4650,0.5681224,17
SP,6000,4650,0.4524768,9
SW,6000,4650,2.9888539,9
FC,6000,4750,73.0288615,3822
SPcc_SPc,6000,4750,0.5066033,12
SP,6000,4750,0.4397975,9
SW,6000,4750,3.0622177,12
FC,6000,4850,73.3735888,3824
SPcc_SPc,6000,4850,0.4971083,12
SP,6000,4850,0.4561806,9
SW,6000,4850,3.0932088,13
FC,6000,4950,72.7827089,3830
SPcc_SPc,6000,4950,0.491432,12
SP,6000,4950,0.4645032,9
SW,6000,4950,3.00506,11
FC,6500,50,73.5935227,3580
SPcc_SPc,6500,50,0.5229616,10
SP,6500,50,0.518269,9
SW,6500,50,6.8265373,9
FC,6500,150,73.2103484,3584
SPcc_SPc,6500,150,0.5298721,11
SP,6500,150,0.5443226,9
SW,6500,150,6.9066396,13
FC,6500,250,73.9683574,3584
SPcc_SPc,6500,250,0.5772832,11
SP,6500,250,0.5494888,9
SW,6500,250,6.9496949,14
FC,6500,350,73.7303854,3584
SPcc_SPc,6500,350,0.5740057,11
SP,6500,350,0.533591,9
SW,6500,350,6.8558904,9
FC,6500,450,74.2797056,3584
SPcc_SPc,6500,450,0.5907332,12
SP,6500,450,0.4886832,7
SW,6500,450,7.0612068,15
FC,6500,550,73.458208,3584
SPcc_SPc,6500,550,0.5655059,11
SP,6500,550,0.5374662,9
SW,6500,550,7.0523549,11
FC,6500,650,73.8406636,3584
SPcc_SPc,6500,650,0.5535564,11
SP,6500,650,0.5552965,9
SW,6500,650,6.8571976,10
FC,6500,750,73.5879497,3584
SPcc_SPc,6500,750,0.5858858,12
